relative_path,consumer_evidence,consumers,conditions,flags,evidence_note
items/npcDiamondDagger.png,static-extracted,ItemDagger|npcDiamondDagger|CustomItems.java:552|extra-items-enabled;ItemDaggerReversed|npcDiamondReversedDagger|CustomItems.java:553|extra-items-enabled,extra-items-enabled,icon-override;shared-icon,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondGlaive.png,static-extracted,ItemGlaive|npcDiamondGlaive|CustomItems.java:597|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondGun.png,static-extracted,ItemGun|npcDiamondGun|CustomItems.java:378|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondHalberd.png,static-extracted,ItemSpear|npcDiamondHalberd|CustomItems.java:504|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondMace.png,static-extracted,ItemNpcWeaponInterface|npcDiamondMace|CustomItems.java:537|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondScythe.png,static-extracted,ItemScythe|npcDiamondScythe|CustomItems.java:586|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondShield.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcDiamondSkirt.png,static-extracted,ItemSkirt|npcDiamondSkirt|CustomItems.java:712|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondSpear.png,static-extracted,ItemSpear|npcDiamondSpear|CustomItems.java:493|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondStaff.png,static-extracted,ItemStaff|npcDiamondStaff|CustomItems.java:574|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondTrident.png,static-extracted,ItemSpear|npcDiamondTrident|CustomItems.java:400|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondWarhammer.png,static-extracted,ItemWarhammer|npcDiamondWarhammer|CustomItems.java:526|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiaShield.png,static-extracted,ItemShield|npcDiaShield|CustomItems.java:469|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcEarthElement.png,static-extracted,ItemNpcInterface|npcEarthElement|CustomItems.java:729|extra-items-enabled,extra-items-enabled,animated-strip;manual-review,literal customnpcs texture registration in a parsed Java statement
items/npcEarthElement.png.mcmeta,not-applicable-sidecar,,,animated-strip;manual-review,animation metadata is outside the static item audit
items/npcElementalStaff.png,static-extracted,ItemElementalStaff|npcElementalStaff|CustomItems.java:577|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcEmeraldBattleAxe.png,static-extracted,ItemBattleAxe|npcEmeraldBattleAxe|CustomItems.java:517|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
